[Classifier] epoch 1/30, loss=0.2858
[Classifier] epoch 2/30, loss=0.2312
[Classifier] epoch 3/30, loss=0.2185
[Classifier] epoch 4/30, loss=0.2403
[Classifier] epoch 5/30, loss=0.2377
[Classifier] epoch 6/30, loss=0.2170
[Classifier] epoch 7/30, loss=0.2416
[Classifier] epoch 8/30, loss=0.2747
[Classifier] epoch 9/30, loss=0.2176
[Classifier] epoch 10/30, loss=0.3522
[Classifier] epoch 11/30, loss=0.2604
[Classifier] epoch 12/30, loss=0.2252
[Classifier] epoch 13/30, loss=0.2424
[Classifier] epoch 14/30, loss=0.2480
[Classifier] epoch 15/30, loss=0.2799
[Classifier] epoch 16/30, loss=0.2690
