Number of sequences dropped: 0 out of 10000. (0.00%)

Row‑stochastic transition matrices (pred | true):
   0.0339  0.1024  0.0119  0.4796  0.3723   |    0.0333  0.1023  0.0119  0.4788  0.3737
   0.2093  0.1701  0.3472  0.1100  0.1633   |    0.2100  0.1668  0.3489  0.1120  0.1623
   0.2731  0.1695  0.0621  0.0445  0.4507   |    0.2701  0.1700  0.0619  0.0437  0.4542
   0.4683  0.2348  0.0846  0.1974  0.0149   |    0.4721  0.2320  0.0845  0.1951  0.0163
   0.2226  0.2083  0.3930  0.1568  0.0192   |    0.2205  0.2090  0.3917  0.1592  0.0195
[Data] P_est error: max 0.0038  ‖·‖₁=0.0093 mean_diag=0.0965
Number of sequences dropped: 0 out of 1000. (0.00%)

Row‑stochastic transition matrices (pred | true):
   0.0052  0.0801  0.3709  0.1508  0.3930   |    0.0052  0.0787  0.3574  0.1431  0.4157
   0.3199  0.0040  0.6328  0.0119  0.0313   |    0.3177  0.0046  0.6283  0.0154  0.0339
   0.0030  0.0096  0.4010  0.2654  0.3210   |    0.0042  0.0090  0.3998  0.2652  0.3219
   0.0502  0.3166  0.2787  0.2755  0.0789   |    0.0529  0.3077  0.2842  0.2762  0.0790
   0.2345  0.0132  0.1454  0.0969  0.5100   |    0.2309  0.0124  0.1516  0.0969  0.5081
[Data] P_est_tgt error: max 0.0227  ‖·‖₁=0.0313 mean_diag=0.2391
[Classifier] epoch 1/30, loss=0.1117
[Classifier] epoch 2/30, loss=0.0819
[Classifier] epoch 3/30, loss=0.0749
[Classifier] epoch 4/30, loss=0.0702
[Classifier] epoch 5/30, loss=0.0660
[Classifier] epoch 6/30, loss=0.0509
[Classifier] epoch 7/30, loss=0.0877
[Classifier] epoch 8/30, loss=0.0569
[Classifier] epoch 9/30, loss=0.0637
[Classifier] epoch 10/30, loss=0.0360
[Classifier] epoch 11/30, loss=0.0649
[Classifier] epoch 12/30, loss=0.0865
[Classifier] epoch 13/30, loss=0.0304
[Classifier] epoch 14/30, loss=0.0558
[Classifier] epoch 15/30, loss=0.0184
[Classifier] epoch 16/30, loss=0.0637
[Classifier] epoch 17/30, loss=0.0331
[Classifier] epoch 18/30, loss=0.0198
[Classifier] epoch 19/30, loss=0.0282
[Classifier] epoch 20/30, loss=0.0346
[Classifier] epoch 21/30, loss=0.0256
[Classifier] epoch 22/30, loss=0.0207
[Classifier] epoch 23/30, loss=0.0130
[Classifier] epoch 24/30, loss=0.0096
[Classifier] epoch 25/30, loss=0.0093
[Classifier] epoch 26/30, loss=0.0067
[Classifier] epoch 27/30, loss=0.0067
[Classifier] epoch 28/30, loss=0.0131
[Classifier] epoch 29/30, loss=0.0118
[Classifier] epoch 30/30, loss=0.0031
[Classifier-Val]  loss = 0.0039  acc = 99.87% TP=9986 FP=0 TN=1000 FN=14
[Time‐Cond Classifier] epoch 1/30, BCE=0.4087
[Time‐Cond Classifier] epoch 2/30, BCE=0.2223
[Time‐Cond Classifier] epoch 3/30, BCE=0.1595
[Time‐Cond Classifier] epoch 4/30, BCE=0.1573
[Time‐Cond Classifier] epoch 5/30, BCE=0.1546
[Time‐Cond Classifier] epoch 6/30, BCE=0.1533
[Time‐Cond Classifier] epoch 7/30, BCE=0.1585
[Time‐Cond Classifier] epoch 8/30, BCE=0.1504
[Time‐Cond Classifier] epoch 9/30, BCE=0.1491
[Time‐Cond Classifier] epoch 10/30, BCE=0.1503
[Time‐Cond Classifier] epoch 11/30, BCE=0.1440
[Time‐Cond Classifier] epoch 12/30, BCE=0.1456
[Time‐Cond Classifier] epoch 13/30, BCE=0.1358
[Time‐Cond Classifier] epoch 14/30, BCE=0.1351
[Time‐Cond Classifier] epoch 15/30, BCE=0.1220
[Time‐Cond Classifier] epoch 16/30, BCE=0.1179
[Time‐Cond Classifier] epoch 17/30, BCE=0.1172
[Time‐Cond Classifier] epoch 18/30, BCE=0.1239
[Time‐Cond Classifier] epoch 19/30, BCE=0.1201
[Time‐Cond Classifier] epoch 20/30, BCE=0.1168
[Time‐Cond Classifier] epoch 21/30, BCE=0.1157
[Time‐Cond Classifier] epoch 22/30, BCE=0.1159
[Time‐Cond Classifier] epoch 23/30, BCE=0.1118
[Time‐Cond Classifier] epoch 24/30, BCE=0.1061
