[Classifier] epoch 1/30, loss=0.2974
[Classifier] epoch 2/30, loss=0.2624
[Classifier] epoch 3/30, loss=0.2797
[Classifier] epoch 4/30, loss=0.2571
[Classifier] epoch 5/30, loss=0.2632
[Classifier] epoch 6/30, loss=0.3002
[Classifier] epoch 7/30, loss=0.2556
[Classifier] epoch 8/30, loss=0.2177
[Classifier] epoch 9/30, loss=0.2187
[Classifier] epoch 10/30, loss=0.2095
[Classifier] epoch 11/30, loss=0.2422
[Classifier] epoch 12/30, loss=0.2177
[Classifier] epoch 13/30, loss=0.1322
[Classifier] epoch 14/30, loss=0.2225
[Classifier] epoch 15/30, loss=0.1412
[Classifier] epoch 16/30, loss=0.1648
[Classifier] epoch 17/30, loss=0.1838
[Classifier] epoch 18/30, loss=0.1666
[Classifier] epoch 19/30, loss=0.2295
[Classifier] epoch 20/30, loss=0.1544
[Classifier] epoch 21/30, loss=0.1747
[Classifier] epoch 22/30, loss=0.1556
[Classifier] epoch 23/30, loss=0.1248
[Classifier] epoch 24/30, loss=0.1096
[Classifier] epoch 25/30, loss=0.1587
[Classifier] epoch 26/30, loss=0.1139
[Classifier] epoch 27/30, loss=0.1136
[Classifier] epoch 28/30, loss=0.0773
[Classifier] epoch 29/30, loss=0.1088
[Classifier] epoch 30/30, loss=0.1091
[Classifier-Val]  loss = 0.0451  acc = 98.22% TP=9950 FP=146 TN=854 FN=50
[Time‐Cond Classifier] epoch 1/30, BCE=0.3761
[Time‐Cond Classifier] epoch 2/30, BCE=0.3019
[Time‐Cond Classifier] epoch 3/30, BCE=0.2968
[Time‐Cond Classifier] epoch 4/30, BCE=0.2934
[Time‐Cond Classifier] epoch 5/30, BCE=0.2927
[Time‐Cond Classifier] epoch 6/30, BCE=0.2818
