[Classifier] epoch 1/30, loss=0.2875
[Classifier] epoch 2/30, loss=0.2481
[Classifier] epoch 3/30, loss=0.2646
[Classifier] epoch 4/30, loss=0.2049
[Classifier] epoch 5/30, loss=0.2246
[Classifier] epoch 6/30, loss=0.2069
[Classifier] epoch 7/30, loss=0.2015
[Classifier] epoch 8/30, loss=0.1768
[Classifier] epoch 9/30, loss=0.2108
[Classifier] epoch 10/30, loss=0.1863
[Classifier] epoch 11/30, loss=0.1834
[Classifier] epoch 12/30, loss=0.1537
[Classifier] epoch 13/30, loss=0.1044
[Classifier] epoch 14/30, loss=0.1325
[Classifier] epoch 15/30, loss=0.1381
[Classifier] epoch 16/30, loss=0.1778
[Classifier] epoch 17/30, loss=0.1159
[Classifier] epoch 18/30, loss=0.1702
[Classifier] epoch 19/30, loss=0.1349
[Classifier] epoch 20/30, loss=0.1108
[Classifier] epoch 21/30, loss=0.1067
[Classifier] epoch 22/30, loss=0.1349
[Classifier] epoch 23/30, loss=0.0852
[Classifier] epoch 24/30, loss=0.1050
[Classifier] epoch 25/30, loss=0.0760
[Classifier] epoch 26/30, loss=0.0710
[Classifier] epoch 27/30, loss=0.0825
[Classifier] epoch 28/30, loss=0.0862
[Classifier] epoch 29/30, loss=0.1254
[Classifier] epoch 30/30, loss=0.0311
[Classifier-Val]  loss = 0.0231  acc = 99.17% TP=9980 FP=71 TN=929 FN=20
[Time‐Cond Classifier] epoch 1/30, BCE=0.3770
[Time‐Cond Classifier] epoch 2/30, BCE=0.3011
[Time‐Cond Classifier] epoch 3/30, BCE=0.2945
